585,Diana Taurasi
869,DeWanna Bonner
887,Sami Whitcomb
918,Tina Charles
924,Alysha Clark
981,Courtney Vandersloot
1004,Sydney Colson
1054,Tiffany Hayes
1068,Nneka Ogwumike
2284331,Emma Cannon
2490553,Brittney Griner
2490794,Layshia Clarendon
2491205,Skylar Diggins-Smith
2491214,Erica Wheeler
2529047,Odyssey Sims
2529122,Chelsea Gray
2529130,Natasha Howard
2529137,Natasha Cloud
2529140,Alyssa Thomas
2529183,Stefanie Dolson
2529205,Kayla McBride
2529458,Cheyenne Parker-Tyus
2529622,Kayla Thornton
2566081,Elizabeth Williams
2566106,Dearica Hamby
2566110,Julie Vanloo
2566186,Rachel Banham
2566453,Isabelle Harrison
2569044,Temi Fagbenle
2590093,Kiah Stokes
2593770,Betnijah Laney-Hamilton
2955898,Damiris Dantas
2984741,Tiffany Mitchell
2987869,Jewell Loyd
2987891,Courtney Williams
2988756,Brittney Sykes
2998927,Moriah Jefferson
2998928,Breanna Stewart
2998938,Kahleah Copper
2999035,Aerial Powers
2999101,Jonquel Jones
3054590,Nia Coffey
3056672,Mercedes Russell
3056730,Karlie Samuelson
3058892,Lexie Brown
3058893,Shatori Walker-Kimbrough
3058895,Brionna Jones
3058901,Allisha Gray
3058902,Diamond DeShields
3058908,Lindsay Allen
3065570,Kelsey Plum
3099025,Astou Ndour-Fall
3099736,Stephanie Talbot
3102133,Rebecca Allen
3142010,Azura Stevens
3142055,Myisha Hines-Allen
3142086,Brianna Turner
3142191,Kelsey Mitchell
3142250,Jordin Canada
3142255,Monique Billings
3142327,Kia Nurse
3142948,Victoria Vivians
3143510,Morgan Bertsch
3146151,Ariel Atkins
3149391,A'ja Wilson
3156318,Kristy Wallace
3904576,Marina Mabrey
3904577,Arike Ogunbowale
3906753,Natisha Hiedeman
3906972,Bridget Carleton
3907781,Sophie Cunningham
3913881,Alanna Smith
3913903,Teaira McCowan
3916514,Kalani Brown
3917450,Napheesa Collier
3917453,Katie Lou Samuelson
3922628,Kennedy Burke
3934218,Megan Gustafson
4038390,Olivia Epoupa
4065759,Mikiah Herbert Harrigan
4065760,Tyasha Harris
4065820,Kysre Gondrezick
4065870,Jackie Young
4066527,Jaelyn Brown
4066533,Sabrina Ionescu
4066548,DiJonai Carrington
4066553,Aari McDonald
4066585,Crystal Dangerfield
4068042,Natasha Mack
4068159,Sug Sutton
4068161,Joyner Holmes
4257500,Cecilia Zandalasini
4280850,Maya Caldwell
4280892,Chennedy Carter
4281183,Lorela Cubaj
4281190,Dana Evans
4281253,DiDi Richards
4281929,Satou Sabally
4282168,Kiana Williams
4282173,Michaela Onyenwere
4398567,Taylor Soule
4398591,Liz Dixon
4398674,Rhyne Howard
4398726,Jessika Carter
4398729,Emily Engstler
4398751,Destanni Henderson
4398752,Victaria Saxton
4398764,Rae Burrell
4398768,Nyara Sabally
4398776,NaLyssa Smith
4398779,Queen Egbo
4398829,Lexie Hull
4398899,Grace Berger
4398907,Kate Martin
4398911,Shakira Austin
4398915,Naz Hillmon
4398935,Veronica Burton
4398938,Dorka Juhasz
4398966,Olivia Nelson-Ododa
4399114,Lou Lopez Senechal
4399415,Maddy Siegrist
4420318,Ezi Magbegor
4422426,Li Yueru
4432830,Jordan Horston
4432831,Aliyah Boston
4432832,Zia Cooke
4432834,Laeticia Amihere
4432841,Jakia Brown-Turner
4432864,Celeste Taylor
4432865,Jacy Sheldon
4433293,Charisma Osborne
4433386,Jaylyn Sherrod
4433402,Angel Reese
4433403,Caitlin Clark
4433404,Cameron Brink
4433405,Kamilla Cardoso
4433408,Aaliyah Edwards
4433468,Nika Muhl
4433630,Rickea Jackson
4433633,Kierstan Bell
4433635,Diamond Miller
4433661,Marquesha Davis
4594527,Dulcy Fankam Mendjiadeu
4595236,Dyaisha Fair
4595910,Haley Jones
4683006,Leonie Fiebich
5017721,Sika Kone
5017726,Jade Melbourne
5105752,Alissa Pili
5106150,Stephanie Soares
5130672,Ivana Dojkic
5209660,Sevgi Uzun
