UserId,UserName,Plus_min,Adjust_plus_min
585,Diana Taurasi,2.29,1.219273174262766
869,DeWanna Bonner,6.49,-1.3483631867893755
887,Sami Whitcomb,10.28,1.386315186768662
918,Tina Charles,-5.98,-1.7439984373368929
924,Alysha Clark,9.08,0.6533843590360184
981,Courtney Vandersloot,6.27,1.3990617808660628
1004,Sydney Colson,0.71,-2.1765577670301774
1054,Tiffany Hayes,4.55,1.4555032345857006
1068,Nneka Ogwumike,9.38,-0.12054546351270279
2284331,Emma Cannon,21.66,2.9568121970013603
2490553,Brittney Griner,4.36,1.5058514411094428
2490794,Layshia Clarendon,-8.14,2.52526907018834
2491205,Skylar Diggins-Smith,8.24,1.6056404817905117
2491214,Erica Wheeler,-5.77,0.5295053519030142
2529047,Odyssey Sims,-12.46,0.8375798730826869
2529122,Chelsea Gray,12.1,0.9462676144789085
2529130,Natasha Howard,-8.58,-3.2567219141446477
2529137,Natasha Cloud,-1.75,1.2977598416330236
2529140,Alyssa Thomas,6.33,-0.868953759489763
2529183,Stefanie Dolson,-2.5,0.9615217424780106
2529205,Kayla McBride,6.34,-0.002978509008055852
2529458,Cheyenne Parker-Tyus,-8.58,-0.9934302692209613
2529622,Kayla Thornton,1.69,1.3942697870317804
2566081,Elizabeth Williams,1.93,3.307150350187622
2566106,Dearica Hamby,-11.27,-0.8847450220568298
2566110,Julie Vanloo,-5.25,1.5033447402554447
2566186,Rachel Banham,10.83,2.1222632871926392
2566453,Isabelle Harrison,-5.03,2.843712283431637
2569044,Temi Fagbenle,-3.2,-3.979933402788525
2590093,Kiah Stokes,5.29,-0.2504987054142127
2593770,Betnijah Laney-Hamilton,13.76,1.6499525806927737
2955898,Damiris Dantas,-8.93,-1.636378901805827
2984741,Tiffany Mitchell,11.99,1.4951505538943977
2987869,Jewell Loyd,8.77,0.26928032520409956
2987891,Courtney Williams,3.0,-0.5760762778513469
2988756,Brittney Sykes,16.78,6.764798856843371
2998927,Moriah Jefferson,5.28,-2.0346169451825102
2998928,Breanna Stewart,9.12,-1.1515833694817077
2998938,Kahleah Copper,-3.45,-1.3254144820770466
2999035,Aerial Powers,-8.43,0.053178922926334776
2999101,Jonquel Jones,12.85,0.4392047251841471
3054590,Nia Coffey,-10.78,-2.7649299584299163
3056672,Mercedes Russell,2.0,1.6838076905309047
3056730,Karlie Samuelson,-1.61,-1.8430574884036972
3058892,Lexie Brown,-4.54,-1.2411788434818665
3058893,Shatori Walker-Kimbrough,-2.46,1.008869581635808
3058895,Brionna Jones,12.49,4.300502068108582
3058901,Allisha Gray,-8.48,-0.22754256908880333
3058902,Diamond DeShields,-10.89,-3.55055300538666
3058908,Lindsay Allen,3.87,-1.332323620859298
3065570,Kelsey Plum,7.62,1.5968538483429244
3099025,Astou Ndour-Fall,-16.09,3.6366466972039904
3099736,Stephanie Talbot,-4.45,-0.44522691806212306
3102133,Rebecca Allen,-2.62,0.013000300074127336
3142010,Azura Stevens,-8.74,-4.348612780625757
3142055,Myisha Hines-Allen,-5.17,-0.45532958477469254
3142086,Brianna Turner,-26.22,1.980088041258322
3142191,Kelsey Mitchell,-7.83,-0.22257859209121345
3142250,Jordin Canada,-2.98,5.554882358216325
3142255,Monique Billings,-6.88,-0.896263591795901
3142327,Kia Nurse,-13.3,-2.756217203530859
3142948,Victoria Vivians,6.42,1.5677128579023045
3143510,Morgan Bertsch,-21.49,-3.970344140121645
3146151,Ariel Atkins,-1.69,-1.4086460452146257
3149391,A'ja Wilson,8.78,-1.810628848450695
3156318,Kristy Wallace,-6.5,-0.19783595053977954
3904576,Marina Mabrey,-3.47,-2.0121185851342367
3904577,Arike Ogunbowale,-7.67,0.13051578287174592
3906753,Natisha Hiedeman,7.33,0.56407382362779
3906972,Bridget Carleton,11.64,0.4124590901690668
3907781,Sophie Cunningham,1.79,-1.0699047607239518
3913881,Alanna Smith,6.21,0.3128413932703382
3913903,Teaira McCowan,-6.38,-1.262760113302424
3916514,Kalani Brown,-11.85,-2.177557858217535
3917450,Napheesa Collier,11.16,3.815988593755328
3917453,Katie Lou Samuelson,-9.93,-1.4511178280055477
3922628,Kennedy Burke,-4.82,1.6791642726413523
3934218,Megan Gustafson,-1.64,-1.6219301546306384
4038390,Olivia Epoupa,7.6,2.2130669352895858
4065759,Mikiah Herbert Harrigan,-20.72,-3.460465284383872
4065760,Tyasha Harris,5.91,-1.085199274461282
4065820,Kysre Gondrezick,-4.92,-5.780945202809842
4065870,Jackie Young,9.28,2.175662648665105
4066527,Jaelyn Brown,-6.49,0.564376066309421
4066533,Sabrina Ionescu,12.14,2.1947433344984315
4066548,DiJonai Carrington,1.88,1.0765833435432899
4066553,Aari McDonald,-4.44,2.5495462492919945
4066585,Crystal Dangerfield,-4.65,0.5674387337352951
4068042,Natasha Mack,-6.98,-0.6311985099344406
4068159,Sug Sutton,-5.66,2.2418910673235803
4068161,Joyner Holmes,5.15,2.140230727980104
4257500,Cecilia Zandalasini,9.99,0.7505058802781496
4280850,Maya Caldwell,-13.07,2.209444957026629
4280892,Chennedy Carter,0.4,-1.322771835426378
4281183,Lorela Cubaj,-11.0,-2.8589740601820086
4281190,Dana Evans,-8.8,-2.04409493079635
4281253,DiDi Richards,-17.45,-1.1037763167121408
4281929,Satou Sabally,-1.0,-91433887221942.27
4282168,Kiana Williams,-1.78,2.536664644064965
4282173,Michaela Onyenwere,-7.44,0.8501145924372121
4398567,Taylor Soule,-131.72,8.476665578590708
4398591,Liz Dixon,-13.72,-1.8971826263348464
4398674,Rhyne Howard,-0.64,2.2948007596029365
4398726,Jessika Carter,-83.72,29.265754151975038
4398729,Emily Engstler,-3.88,-0.09786677647209396
4398751,Destanni Henderson,-15.27,2.025316789124677
4398752,Victaria Saxton,-26.8,-3.154940935507284
4398764,Rae Burrell,-12.76,-0.979742179145975
4398768,Nyara Sabally,3.66,0.014942310869911046
4398776,NaLyssa Smith,-5.23,-1.3578430445142502
4398779,Queen Egbo,0.0,0.9709258458375003
4398829,Lexie Hull,-4.38,-1.0957644157764022
4398899,Grace Berger,-23.5,-7.310896991542949
4398907,Kate Martin,-0.25,0.03789540637814026
4398911,Shakira Austin,-12.08,-0.5600107542003614
4398915,Naz Hillmon,-5.57,-2.671592086036195
4398935,Veronica Burton,8.61,-1.9896701810598774
4398938,Dorka Juhasz,6.67,0.45155760491060537
4398966,Olivia Nelson-Ododa,4.69,4.319211054103496
4399114,Lou Lopez Senechal,-30.72,-4.738984834142765
4399415,Maddy Siegrist,-5.63,2.956605465752059
4420318,Ezi Magbegor,11.35,0.05353924241619512
4422426,Li Yueru,-10.97,-2.1176171552110374
4432830,Jordan Horston,4.22,-0.6620600773037849
4432831,Aliyah Boston,-0.55,-0.7312460091354676
4432832,Zia Cooke,-5.88,-2.8949384315761946
4432834,Laeticia Amihere,-33.19,-8.976233364148541
4432841,Jakia Brown-Turner,-35.14,-14.719377999882898
4432864,Celeste Taylor,-7.11,-4.962236917042793
4432865,Jacy Sheldon,-12.95,-0.9592512167218319
4433293,Charisma Osborne,8.01,2.025017828968638
4433386,Jaylyn Sherrod,52.75,1.1033009128532156
4433402,Angel Reese,3.29,3.8104045831912647
4433403,Caitlin Clark,-6.47,1.404449291736031
4433404,Cameron Brink,-8.5,-1.3878363123903046
4433405,Kamilla Cardoso,-3.82,1.4486466313813582
4433408,Aaliyah Edwards,-5.85,-0.06047472716858801
4433468,Nika Muhl,-27.86,10.43785544240222
4433630,Rickea Jackson,-10.87,0.1971482755878784
4433633,Kierstan Bell,-23.44,13.978018247221856
4433635,Diamond Miller,-6.52,-3.890757953262369
4433661,Marquesha Davis,-3.53,4.201303621525173
4594527,Dulcy Fankam Mendjiadeu,-12.1,-1.4545534788224979
4595236,Dyaisha Fair,-30.51,0.061528098031248035
4595910,Haley Jones,-14.61,-0.89755440834035
4683006,Leonie Fiebich,14.99,1.141092250659348
5017721,Sika Kone,-22.23,1.7121809305896916
5017726,Jade Melbourne,-2.68,-0.18747162305194776
5105752,Alissa Pili,-5.48,7.231002020376789
5106150,Stephanie Soares,-7.42,-1.2671132404201355
5130672,Ivana Dojkic,3.77,2.567136043566011
5209660,Sevgi Uzun,-7.16,-1.223758894
